"","X","site","cluster"
"1",1,"1306A",1
"2",2,"1304A",1
"3",3,"1300A",1
"4",4,"1299A",1
"5",5,"1302A",1
"6",6,"1305A",1
"7",7,"1303A",1
"8",8,"1301A",1
"9",9,"1657A",1
"10",10,"1658A",1
"11",11,"1656A",1
"12",12,"1626A",1
"13",13,"1627A",1
"14",14,"1625A",1
"16",16,"1962A",1
"17",17,"1616A",1
"18",18,"1615A",1
"19",19,"1617A",1
"20",20,"1633A",1
"21",21,"1636A",1
"22",22,"1624A",1
"23",23,"1623A",1
"24",24,"1622A",1
"25",25,"1631A",1
"26",26,"1632A",1
"27",27,"1653A",1
"28",28,"1654A",1
"29",29,"1655A",1
"30",30,"1635A",1
"31",31,"1629A",1
"32",32,"1630A",1
"33",33,"1628A",1
"34",34,"1076A",1
"35",35,"1074A",1
"36",36,"1075A",1
"37",37,"2395A",1
"38",38,"1641A",1
"39",39,"2394A",1
"40",40,"2392A",1
"41",41,"2393A",1
"42",42,"1720A",1
"43",43,"1719A",1
"44",44,"1959A",1
"45",45,"1718A",1
"46",46,"1960A",1
"47",47,"1665A",1
"48",48,"1667A",1
"49",49,"1048A",1
"50",50,"1071A",1
"51",51,"1047A",1
"52",52,"1666A",1
"53",53,"1049A",1
"54",54,"1073A",1
"55",55,"1072A",1
"56",56,"1637A",1
"57",57,"1050A",1
"58",58,"1638A",1
"59",59,"1078A",1
"60",60,"1079A",1
"61",61,"1668A",1
"62",62,"1818A",1
"63",63,"1080A",1
"64",64,"1077A",1
"65",65,"1639A",1
"66",66,"1649A",1
"67",67,"1648A",1
"68",68,"1821A",1
"69",69,"1650A",1
"70",70,"1619A",1
"71",71,"1651A",1
"72",72,"1820A",1
"73",73,"1618A",1
"74",74,"1621A",1
"75",75,"1652A",1
"76",76,"1620A",1
"77",77,"1819A",1
"78",78,"1822A",1
"79",79,"2386A",1
"80",80,"1640A",1
"81",81,"2387A",1
"82",82,"2385A",1
"83",83,"1179A",1
"84",84,"1030A",1
"85",85,"2408A",1
"86",86,"2409A",1
"87",87,"1181A",1
"88",88,"1177A",1
"89",89,"1033A",1
"90",90,"1182A",1
"91",91,"2411A",1
"92",92,"2410A",1
"93",93,"1178A",1
"94",94,"1034A",1
"95",95,"1032A",1
"96",96,"1035A",1
"97",97,"1180A",1
"98",98,"1029A",1
"99",99,"1024A",1
"100",100,"1183A",1
"101",101,"1031A",1
"102",102,"1027A",1
"103",103,"1659A",1
"104",104,"1054A",1
"105",105,"1056A",1
"106",106,"1051A",1
"107",107,"1052A",1
"108",108,"1055A",1
"109",109,"2282A",1
"110",110,"1053A",1
"111",111,"1013A",1
"112",112,"1018A",1
"113",113,"1825A",1
"114",114,"2284A",1
"115",115,"1021A",1
"116",116,"1971A",1
"117",117,"2388A",1
"118",118,"1823A",1
"119",119,"1017A",1
"120",120,"1016A",1
"121",121,"1972A",1
"122",122,"2391A",1
"123",123,"1824A",1
"124",124,"2390A",1
"125",125,"1020A",1
"126",126,"2283A",1
"127",127,"1826A",1
"128",128,"1025A",1
"129",129,"1977A",1
"130",130,"2389A",1
"131",131,"1967A",1
"132",132,"1015A",1
"133",133,"1968A",1
"134",134,"1978A",1
"135",135,"1014A",1
"136",136,"1019A",1
"137",137,"1965A",1
"138",138,"1966A",1
"139",139,"1174A",1
"140",140,"1173A",1
"141",141,"2312A",1
"142",142,"1314A",1
"143",143,"2311A",1
"144",144,"1741A",1
"145",145,"1176A",1
"146",146,"1740A",1
"147",147,"1738A",1
"148",148,"1742A",1
"149",149,"1221A",1
"150",150,"1219A",1
"151",151,"1220A",1
"152",152,"1743A",1
"153",153,"1222A",1
"154",154,"2304A",1
"155",155,"2845A",1
"156",156,"1729A",1
"157",157,"2306A",1
"158",158,"1739A",1
"159",159,"2305A",1
"160",160,"1727A",1
"161",161,"1728A",1
"162",162,"1730A",1
"163",163,"1731A",1
"164",164,"1308A",1
"165",165,"1315A",1
"166",166,"1067A",1
"167",167,"1070A",1
"168",168,"1324A",1
"169",169,"1964A",1
"170",170,"1069A",1
"171",171,"1318A",1
"172",172,"1321A",1
"173",173,"1976A",1
"174",174,"1068A",1
"175",175,"1320A",1
"176",176,"1975A",1
"177",177,"1970A",1
"178",178,"1316A",1
"179",179,"1969A",1
"180",180,"1317A",1
"181",181,"1323A",1
