"","X","site","¾­¶È","Î³¶È"
"1",1,"1001A",116.366,39.8673
"2",2,"1002A",116.17,40.2865
"3",3,"1003A",116.434,39.9522
"4",4,"1004A",116.434,39.8745
"5",5,"1005A",116.473,39.9716
"6",6,"1006A",116.361,39.9425
"7",7,"1007A",116.315,39.9934
"8",8,"1008A",116.72,40.1438
"9",9,"1009A",116.644,40.3937
"10",10,"1010A",116.23,40.1952
"11",11,"1011A",116.407,40.0031
"12",12,"1012A",116.225,39.9279
"13",13,"1013A",117.151,39.097
"14",14,"1014A",117.193,39.173
"15",15,"1015A",117.145,39.1654
"16",16,"1016A",117.184,39.1205
"17",17,"1017A",117.237,39.1082
"18",18,"1018A",117.202,39.0927
"19",19,"1019A",117.1837,39.2133
"20",20,"1020A",117.269,39.1337
"21",21,"1021A",117.307,39.0877
"22",22,"1024A",117.457,38.8394
"23",23,"1025A",117.401,39.124
"24",24,"1027A",117.157,38.9194
"25",25,"1029A",114.4548,38.0513
"26",26,"1030A",114.6046,38.0398
"27",27,"1031A",114.5019,38.1398
"28",28,"1032A",114.4586111,38.00583333
"29",29,"1033A",114.5330556,38.01777778
"30",30,"1034A",114.5214,38.0524
"31",31,"1035A",114.3541,37.9097
"32",32,"1036A",118.1662,39.6308
"33",33,"1037A",118.144,39.643
"34",34,"1038A",118.1853,39.6407
"35",35,"1039A",118.2185,39.6679
"36",36,"1040A",118.1838,39.65782
"37",37,"1041A",118.1997,39.6295
"38",38,"1043A",119.7624,40.0181
"39",39,"1044A",119.6023,39.9567
"40",40,"1047A",114.5129,36.61763
"41",41,"1048A",114.5426,36.6164
"42",42,"1049A",114.5035,36.5776
"43",43,"1050A",114.4965,36.61981
"44",44,"1051A",115.493,38.8632
"45",45,"1052A",115.5223,38.8957
"46",46,"1053A",115.4713,38.9108
"47",47,"1054A",115.4612,38.8416
"48",48,"1055A",115.442,38.8756
"49",49,"1056A",115.5214,38.8707
"50",50,"1057A",114.8985,40.8367
"51",51,"1058A",114.892,40.79481
"52",52,"1059A",114.8814,40.8115
"53",53,"1060A",114.9032,40.7688
"54",54,"1061A",114.904,40.8725
"55",55,"1062A",117.9664,40.9161
"56",56,"1063A",117.9525,40.9843
"57",57,"1064A",117.963,40.9359
"58",58,"1065A",117.8184,40.9733
"59",59,"1066A",117.9384,41.0112
"60",60,"1067A",116.6838,39.5178
"61",61,"1068A",116.7729,39.5747
"62",62,"1069A",116.715,39.5571
"63",63,"1070A",116.7464,39.5343
"64",64,"1071A",116.8854,38.2991
"65",65,"1072A",116.8584,38.3254
